score,text,critic,date,title,platform
73,"Packaged on the occasion of the fifteenth anniversary of the brand and brought to the hybrid of the Kyoto House to celebrate the twentieth, .hack // G.U. Last Recode for Nintendo Switch is a good opportunity to relive the epic poem by Haseo and the other Epitaph Users in portability, but also to approach the brand for the first time and rediscover one of the most precious works to bear the signature of the developer CyberConnect2. Net of washed-out textures and a long-repetitive combat system, over the years the action RPG of Bandai Namco has been able to retain its charm, which is why we strongly suggest you welcome it in your collection and let yourself be conquered by the fabulous mythology at the base. of ""The World"".",Everyeye.it,"Apr  6, 2022",.hack//G.U. Last Recode,Switch
60,".hack//G.U. Last Recode isn’t a bad game, it’s just aggressively mediocre. These three games weren’t fantastic when they were new and, surprise surprise, they still aren’t great now. Repetitive dungeon design, extremely easy combat, and an often nonsensical narrative prove to be this release’s greatest weaknesses, holding it back from fulfilling the interesting concept of its premise. Still, if you want the nostalgia trip or for some reason aren’t satisfied with the near-bottomless list of more interesting RPGs on the Switch, it may be worth the punt. We’d give this one a light recommendation, then, but would say you’re better off picking up the remasters of Final Fantasy XII or Shin Megami Tensei III if you’re looking for a worthwhile sixth-generation RPG. If it’s specifically the concept of a single player MMO that interests you, then either CrossCode or one of the Xenoblade releases will scratch that itch far better.",Nintendo Life,"Mar 29, 2022",.hack//G.U. Last Recode,Switch
90,"The best reason to consider picking up Nintendo's new console. Yes, The Legend of Zelda: Breath of the Wild may go down as the finest game Nintendo's yet made. But you can play Zelda on Wii U. 1-2-Switch only works on the Switch. It is an absolute blast, a party game nonpareil, but also a showcase for the sort of ""next-gen local play"" possibilities the Switch may turn out to be persuasive enough to give literal legs to.",Time,"Mar  2, 2017",1-2-Switch,Switch
80,"1-2 Switch defied my expectations, providing an entertainment experience above and beyond that of what I thought was its closest counterpart, Wii Sports. It has a huge variety of games, some better than others, which appeal to both gamers and non-gamers alike. Although artificial restrictions placed on some games and game modes keep it from being as much fun as it could be, this is an excellent party game, and it’s just as much fun to watch as it is to play.",GamingTrend,"Apr 25, 2017",1-2-Switch,Switch
75,To really enjoy 1-2-Switch you just need a few beers and an awful lot of friends.,Multiplayer.it,"Mar  8, 2017",1-2-Switch,Switch
75,"As far as mini-game compilations go, 1-2 Switch isn’t that bad, but it won’t tread on Wii Sports grounds any time soon.",CGMagazine,"Mar  2, 2017",1-2-Switch,Switch
70,"A compilation of really simple minigames (28 in total) that quickly get boring due to lack of depth. [05/2017, p.67]",CD-Action,"Apr 26, 2017",1-2-Switch,Switch
70,"1-2-Switch is guaranteed to generate more than a few laughs in social situations, even if some of the games will only be played once or twice. It's definitely THE title to show off the Switch's features, if you wanted to show them off. It lacks any real long term sustenance, though, and definitely should have been a pack in.",Switch Player,"Apr  6, 2017",1-2-Switch,Switch
70,"The game builds on the simple genius of Nintendo’s earlier motion control games — “Wii Sports,” “Wii Play,” and “Wii Fit” — by packing many different features into its Joy-Con controller.",Washington Post,"Mar 21, 2017",1-2-Switch,Switch
70,"Yes, this is way too expensive; yes, it's in need of a decent amount of fine-tuning here and there; and yes, after getting a taste of a mini-game you have pretty much experienced everything it has to offer. However, while 1-2-Switch is not as good as it should be for a launch title, and although it gives a bitter tech demo aftertaste, it's hard to deny how fun it can be when gathering a bunch of friends ready to go bat-switch crazy with it.",Cubed3,"Mar  8, 2017",1-2-Switch,Switch
70,"Amazing features of the Joy-Con in these mini-games. However, only a few of them are really entertaining and Nintendo could have done better with this brand new social game.",Areajugones,"Mar  8, 2017",1-2-Switch,Switch
70,"As suspected, 1-2 Switch would have been much better served packed in with every Nintendo Switch (and it may yet become that). As a demonstration of the Joy Cons' abilities it's fantastic, as a multiplayer party game it's fun and often hilarious, but it could stand to have just a little more in the way of longevity.",IBTimes UK,"Mar  4, 2017",1-2-Switch,Switch
68,"1-2-Switch is a successful demonstration of unique hardware, but a shallow, gimmicky game.",IGN,"Mar  2, 2017",1-2-Switch,Switch
65,"I did enjoy my time with 1-2-Switch. Its quirky minigames have put smiles on our collective faces and we had a solid time every time we picked it up. Sure, it could have been so much more, but it causes interaction between its players. That is why it is a fine showcase for what the Joy-Con controllers can do. Their array of options are being checked off a list, but never over-emphasizes one aspect of the controllers. If you have an active group of friends who like it wacky, 1-2-Switch will serve you well. Anybody else is probably out of luck here.",NintendoWorldReport,"Mar  9, 2017",1-2-Switch,Switch
65,A missed opportunity due its lack of depth on almost every corner of its gameplay.,IGN Spain,"Mar  7, 2017",1-2-Switch,Switch
65,"1-2-Switch will definitely get the party started, even though the quality of the minigames is low. The graphics and visual style are very attractive, but this game should have been a free launch game to show off the Joy-Cons.",InsideGamer.nl,"Mar  6, 2017",1-2-Switch,Switch
65,"1-2-Switch is a unique game thanks to the Joy-Con controllers. It is a party starter, but the party will not last very long.",Gamer.nl,"Mar  6, 2017",1-2-Switch,Switch
65,"1, 2, Switch shows Joy-Con's possibilities through a party game. It's proposal of not needing to pay attention to the TV is original and it's really fun if your friends or family don't have fear of ridicule.",Meristation,"Mar  6, 2017",1-2-Switch,Switch
65,"1-2-Switch is a fine game to showcase both Switch and the Joy-Con, but as a game it has its share of issues. Not all the minigames are brilliant, and what's worst, none of them have the replay value of the minigames seen on WarioWare/Rhythm Paradise.",Hobby Consolas,"Mar  3, 2017",1-2-Switch,Switch
65,"1-2 Switch shows the Joy-Con's potential for funny games, but as a game collection it offers not enough long-term motivation. Should have been part of the package.",GamePro Germany,"Mar  2, 2017",1-2-Switch,Switch
65,"The value proposition isn't amazing, and would be a tough pill to swallow even if it were £1 per game. Solo, this is absolutely one to be missed, while players with siblings, flatmates, partners or regular gatherings might actually find this to be essential.",Wccftech,"Mar  2, 2017",1-2-Switch,Switch
65,"If you’re into regularly hosting or attending parties then yes, 1-2-Switch is a game for you and you’ll get your money’s worth out of it. However if you’re thinking of picking this up to play with the family on weekends, you’ll find the game collecting dust fairly quick. The mini-games get old fast and the game gets exponentially less fun with less people. Top that off with its significant price point and you can be sure that 1-2-Switch will be filling up bargain bins within months.",Nintendo Enthusiast,"Mar  2, 2017",1-2-Switch,Switch
63,"Unfortunately, even the best mini-games from 1-2-Switch collection won’t keep you engaged for more than 20 minutes. That’s partially offset by sheer quantity of these games, but still – you probably won’t find yourself playing 1-2-Switch in the same company too often. Maybe once every few weeks. [Issue#218, p.70]",Game World Navigator Magazine,"Mar 24, 2017",1-2-Switch,Switch
60,"For all Nintendo’s protestations, 1-2-Switch absolutely should have been bundled with the Nintendo Switch. It's an excellent demonstration of the hardware and the sort of game that could be chucked on when you’ve got friends over and want to show them what the console is all about. Instead, you’ll have to fork out £35 for a limited, albeit fun, tech demo.",Wired UK,"Aug 30, 2017",1-2-Switch,Switch
60,"This is one party game that, like balloons and other party favors, will only be dusted off for gatherings and then quickly put back into storage. [Issue #27 – May/June 2017, p. 66]",Nintendo Force Magazine,"Apr 24, 2017",1-2-Switch,Switch
60,"Energetic if simplistic, shallow yet enormously replayable, it's the kind of game you'll forget about for months, rediscover during a party, and within ten minutes everyone will be shouting, laughing and clamouring to join in. [May 2017, p.119]",Edge Magazine,"Apr 16, 2017",1-2-Switch,Switch
60,"It’s a game that will fit in at any party or family home, but it’s a shame that because of the simple fact it isn’t packed in with the console it won’t necessarily find its audience. For those that pick it up, that first time through, with new people – it’s genuinely magic. After that, there’s little left.",games(TM),"Apr 11, 2017",1-2-Switch,Switch
60,"1-2 Switch is just light on great mini-games, it’s shallow and once you’ve played them all with a group of friends you’re unlikely to go back. Some games just boil down to dumb luck, the real games are few and far between...You’ll have fun with it, but probably just once.",Vooks,"Apr  6, 2017",1-2-Switch,Switch
60,"1-2-Switch serves as a nice tech demo to familiarize yourself with the Nintendo Switch console and Joy-Con controllers. It’s a unique experience, the type only Nintendo can provide. Unfortunately, though, the redundancy of the minigames means you’ll likely have fun for only a few hours, and then move on to more engaging games.",GameCrate,"Mar 23, 2017",1-2-Switch,Switch
60,"1-2-Switch displays some interesting ideas and reveals part of the potential uses of the Joy-Cons as more than mere controllers. However, its steep price and relatively uninteresting content of several of its minigames, as well as the focus on multiplayer in detriment of single player, end up harming what could be a much more attractive window into the future uses of the Nintendo Switch.",FNintendo,"Mar 10, 2017",1-2-Switch,Switch
60,"It's a good way to see what the console is capable of, but it's too expensive for the amount of content or the hours of fun it offers. Actually, it would've been an amazing addition for free with the console, since it feels more like a tech demo than a proper, almost full-price game.",Vandal,"Mar  9, 2017",1-2-Switch,Switch
60,"Not the best option to have a party with Nintendo Switch, but it's still a good demonstration of the Joy-Con features.",3DJuegos,"Mar  8, 2017",1-2-Switch,Switch
60,1-2-Switch has some unique gameplay gems and many disappointing challenges. Quite entertaining but it should have been a bundle title.,Eurogamer Italy,"Mar  6, 2017",1-2-Switch,Switch
60,"1 2 Switch can provide you game sessions full of laughs and fun, but on the other hand it's just a collection of tech demos for the Joy-Con capabilities that unfortunately are not as deep to sell them as a retail package.",Atomix,"Mar  3, 2017",1-2-Switch,Switch
60,"I’m not sure who 1-2 Switch is really for. As a full priced title, I don’t feel the core gaming crowd will find much appeal here and for the more casual crowd, there isn’t really anything instantly captivating or fun enough to hold interest for more than a couple hours. Having to constantly swap accessories in and out becomes tedious as well. At the very least, 1-2 Switch does act as a nice little social ice breaker to get the room interacting quickly and there are a few good ideas on display here. I applaud Nintendo for trying new things, even if they don’t always hit the mark.",COGconnected,"Mar  3, 2017",1-2-Switch,Switch
60,"1-2 Switch is able to show what Nintendo Switch is about, and it can be a lot of fun when you try a well designed minigame or watch someone playing it. But only for a short time, and this is why 1-2 Switch can't be considered as the Wii Sports equivalent.",Gameblog.fr,"Mar  3, 2017",1-2-Switch,Switch
60,"1-2-Switch packs in an impressive amount of content, and is legitimately one of the best party games you'll come across. If it'd been included with the console, it would doubtlessly win over a lot of people. I'm just not sure anything here is compelling enough to entice people to pay an extra £40 for it – especially when Zelda is going to be sat right next to it on shelves.",Trusted Reviews,"Mar  2, 2017",1-2-Switch,Switch
60,"For all its good ideas, inventive uses of the Joy-Con and potential as a fantastic party game, 1-2-Switch has just as many fumbles that make it far from an essential Switch launch title. It can be a lot of fun, but it fails to keep you in the moment, takes too long to explain and set up each game, and no amount of immature giggling at euphemistic games can manage to rescue it from itself. It might be quick on the draw, but what follows is more of a confused fumble.",TheSixthAxis,"Mar  2, 2017",1-2-Switch,Switch
60,"As it stands, 1-2 Switch is a really fun couple of hours that may well end up being the star attraction at one or two friends or family get-togethers. However, it will then find itself at the dusty end of your games collection. Nintendo says it wants to offer value to Switch purchasers, yet we can’t help but feel it’s not just the cow getting milked in this scenario.",Guardian,"Mar  2, 2017",1-2-Switch,Switch
60,Does it live up to Wii Sports? Not a chance. But that doesn't stop 1-2-Switch being an entertaining minigame collection--just make sure you've got enough willing friends to maintain your own fading high.,GameSpot,"Mar  2, 2017",1-2-Switch,Switch
60,"By refusing to bundle 1-2-Switch with the base system, Nintendo has missed out on the kind of exposure that marketing simply cannot buy you; as a stand-alone release it feels too fleeting and ephemeral, but as a free pack-in it would arguably have been much more appealing.",Nintendo Life,"Mar  2, 2017",1-2-Switch,Switch
60,"1, 2, Switch is a party game with a total of 28 different mini games. The game controls are so simple that literally everyone can pick it up and play.",XGN,"Mar  2, 2017",1-2-Switch,Switch
58,"1-2-Switch contains minigames that are both fun diversions and promising examples of the technology at work within the system’s Joy-Cons, but several duds, a lack of substance or progression, and an expensive asking price make it feel like something that would have been better suited as a pack-in title.",New Game Network,"Mar 27, 2017",1-2-Switch,Switch
55,"Despite being a fascinating rundown of the Nintendo Switch hardware’s capabilities, as a game in its own right, 1-2-Switch falls sadly flat. You’ll enjoy yourself immensely for a few hours, but after you and your friends have tried it, 1-2-Switch will be relegated to gathering dust on your shelf and having its most innuendo-heavy screenshots be used for bad memes. If you can play a preview of this somewhere, you’ve already seen everything it has to offer.",App Trigger,"Apr 21, 2017",1-2-Switch,Switch
55,"The real problem with 1-2-Switch is the steep price: 50 bucks is a lot of money for a bunch of cute minigames (half of which are meh). There are some occasions when 1-2-Switch shows the great potential of the new Nintendo console, but it's not enough to justify the buy.",The Games Machine,"Mar 16, 2017",1-2-Switch,Switch
55,"1-2 Switch isn't Wii Sports, the new features are interesting but the lack of variety of the gameplay and the price too high make them not worthy.",SpazioGames,"Mar 15, 2017",1-2-Switch,Switch
55,"1,2 Switch is an interesting, occasionally fun primer to the Switch's controllers. Had it been packed in, 1,2 Switch would have garnered its fair share of converts - but with its lack of depth and its frankly ludicrous price, it’s just not worth investing in.",Critical Hit,"Mar 14, 2017",1-2-Switch,Switch
55,A proof of concept more than a game itself.,LevelUp,"Mar  2, 2017",1-2-Switch,Switch
54,"Appealing presentation masks a litany of awkward microgames you'll never play again. [Apr 2017, p.64]",Games Master UK,"May 19, 2017",1-2-Switch,Switch
50,"1-2-Switch is fun with the right group of people, there’s no doubt about it, but the steep price and current technical issues with the Joy-Con makes this a game you should hold off on until the wrinkles are out.",Gamer.no,"Mar  6, 2017",1-2-Switch,Switch
50,"There is fun to be had, but in short bursts, and you'll play it every time you want to show the system off to someone new to Switch, but this is a shallow game, with a few fun minigames, and some cool tech.",God is a Geek,"Mar  6, 2017",1-2-Switch,Switch
50,"Sadly, a game that’s meant to showcase the Switch’s Joy-Cons also demonstrates how broken they can become.",Stevivor,"Mar  6, 2017",1-2-Switch,Switch
50,"The misfortune here for Nintendo EAD is that party games need to be accessible and appealing to a mass audience, but 1-2-Switch settles for a very specific demographic and all but alienates the rest. For that reason, it’s not a purchase I would recommend; it would have been better as a ""free"" pack in so that people would get the chance to try it for themselves before deciding on whether it had any long-term longevity for them.",Digitally Downloaded,"Mar  6, 2017",1-2-Switch,Switch
50,Quotation forthcoming.,Everyeye.it,"Mar  4, 2017",1-2-Switch,Switch
45,1-2 Switch fails in its primary goal: show how fun can be a Switch party game. There's literally no reason to buy a game that you shouldn't download even if it was free.,IGN Italia,"Mar  7, 2017",1-2-Switch,Switch
45,"I'd have had no hesitation in recommending 1-2-Switch if it were included with the Switch or maybe $20 max, but as it stands it is far too expensive for the dash of entertainment it provides. 1-2-Switch is a good distraction for parties with people who don't game much, or those looking for something a little different than Cards Against Humanity for the millionth time. Otherwise, wait for a deep price drop.",Destructoid,"Mar  7, 2017",1-2-Switch,Switch
40,"Milking the cows will go down in history, but it does not change the fact that 1-2-Switch is only a collection of mini-games that will soon become boring. The whole thing is more ridiculous than funny. And then there’s an ungodly price.",Games.cz,"Apr  5, 2017",1-2-Switch,Switch
40,"Good for one evening of outlandish fun, but not one you'll come back to.",The Digital Fix,"Mar 21, 2017",1-2-Switch,Switch
40,1-2 Switch is a game that should have been included with the Nintendo Switch system for free and it definitely does not justify its high price tag.,TrueGaming,"Mar  9, 2017",1-2-Switch,Switch
40,"Maybe if Nintendo opted to include it as a pack-in, it would have allowed users to appreciate the half-hearted nature of its lackluster design.",Game Rant,"Mar  2, 2017",1-2-Switch,Switch
40,"Given its diehard fan base, it would be easy for Nintendo to forget that the point of first-party launch titles is to sell consumers on the capabilities of a new system – especially when it has Breath of the Wild up its sleeve. But most consumers would like more than one reason to buy a new console, and 1-2-Switch is insultingly shallow. Nintendo has created an intriguing piece of hardware, but its default runner-up launch title presents the Switch like it's a cheap gimmick machine.",Game Informer,"Mar  2, 2017",1-2-Switch,Switch
40,"At best, 1-2 Switch should have been packed in with the console to give the early adopters something to do when they get home and better acquaint them with their new hardware. At worst, it should have been sold alone at a budget price of around $20...1-2 Switch is, in this humble reviewer’s opinion, a throwback to the reviled and little-played party games of the Wii era. I’d have thought that was a time Nintendo would have rather left forgotten.",Post Arcade (National Post),"Mar  2, 2017",1-2-Switch,Switch
40,"Outside of a few interesting ideas and some cool demonstrations of the Joy-Con controllers' HD rumble capabilities, 1-2 Switch's shallow collection of minigames has little to offer. The bizarre actors of the cringe-inducing live-action video demonstrations looked like they were having fun, but I certainly wasn't.",We Got This Covered,"Mar  2, 2017",1-2-Switch,Switch
35,"What a waste! 1-2 Switch should have been sold with the Switch. Instead, Nintendo decided to sell it 50€. Once you played the entire 28 mini-games, only 10 of them are funny. Yes, it’s a scam.",JeuxActu,"Mar  7, 2017",1-2-Switch,Switch
28,"I haven’t been this disappointed with a Nintendo game since Wii Music. Superficial tech demos camouflaged as mini games. If at all, the fun is very short-lived.",4Players.de,"Mar  7, 2017",1-2-Switch,Switch
80,"When the Japan-only GO Series: 10 Second Run was localised back in 2010 it gave the west a chance to experience a classic premise with a speedy twist. Seven-plus years on and that formula feels suitably refreshed on Switch with a tougher set of challenges, a better course unlock system and support for local co-op. 10 Second Run Returns might look basic, but there’s plenty of addictive fun and moreish frustration to be had in 10 seconds or less.",Nintendo Life,"Jan 31, 2018",10 Second Run Returns,Switch
60,"What it lacks in depth, 10 Second Run Returns makes up for in sharp, fun levels. If you enjoy a good platforming romp then this will scratch a short-term itch. But it won’t go far beyond that.",Switch Player,"Apr 17, 2018",10 Second Run Returns,Switch
60,"Overall, 10 Second Run Returns is a solid but somewhat dull title. The music is nice, but everything else from the art, gameplay, and multiplayer is quite barebones. What it lacks in sizzle it makes up for in function. The level design is fair and fun to overcome, and holds plenty of challenge for the platforming fanatic. Although there may be many other more exciting looking selections available on Switch, 10 Second Run is a good option for quick and reliable platforming fun.",NintendoWorldReport,"Feb  5, 2018",10 Second Run Returns,Switch
50,"112 Operator is ultimately a niche game let down by some bad design choices on the Switch. While the premise is interesting, the UI immersive and the gameplay compelling, the control options and confusing visuals on the Switch make it hard to stay focused. This is a game best played on a workstation with no distractions, and that’s about as far away from the Switch’s capabilities as one could imagine. If you’re the kind of player who can stomach the game’s flaws and dry moments, you’d still be better off to try it on another platform.",Digitally Downloaded,"Aug  3, 2021",112 Operator,Switch
80,"If you are looking for an interesting top-down shooter with some fresh mechanics, something with a pen-and-paper art aesthetic, or you just have a soft spot for a good, old-fashioned western, 12 Is Better Than 6 is a good title to consider. It’s mix of face reaction with stealth setup can turn the tides from calculating to chaotic at any moment, keeping you on your toes.",GameSpace,"Mar 26, 2019",12 is Better Than 6,Switch
80,"The first thing you will notice is the art style and what a brilliant art style it is. Look beyond that and here lies a game that is not only addictive but also super fun to play, too. It is just a shame that the thrill I had during the first few hours, didn’t carry over into the later hours of the game, as it does get a tad repetitive as you make your way through. Having said that, I didn’t feel like I ever wanted to stop playing. Every time I died, I just had to have one more go. Considering Nintendo fans don’t have Hotline Miami to fire-up on their Switch, 12 Is Better Than 6 cocks its gun and shoots its way up towards the top as one of the best in its genre. You don’t want to miss out.",Nintendo Insider,"Mar  5, 2019",12 is Better Than 6,Switch
75,"12 is Better Than 6 provides quick, intense battles coupled with a great soundtrack and visuals. I had an enjoyable time in the Wild West – much more than expected. A few tweaks could go a long way, but as it is, I highly recommend this game to anyone looking for something unique in the twin-stick genre.",Pure Nintendo,"Apr  5, 2019",12 is Better Than 6,Switch
75,"The monochromatic look is great and the splashes of blood really help to elevate it. The story is likewise interesting, with fun and engaging characters. I came across a few frustrating levels, but these were rare and, at the end of the day, made me really appreciate the fun I had been having.",Nintendo Enthusiast,"Mar 14, 2019",12 is Better Than 6,Switch
75,"Taking small things from the most classic novels and movies of the American western, this title manages to make you feel like a gunslinger in a lawless country. Its artistic section is outstanding, but it has a very short duration.",Nintenderos,"Mar 10, 2019",12 is Better Than 6,Switch
70,"12 is better than 6 is a frantic, top-down shooter with a lovely pen and paper visual style.",God is a Geek,"Apr  1, 2019",12 is Better Than 6,Switch
50,"Dialogue is poor, cliched and uninteresting, so after an hour or so the only thing really pulling you through is the cool black and white, hand-drawn aesthetic, and the excellent soundtrack. The gameplay does a lot to make up for the shortcoming of the overall package, and it’s fun to jump into for quick sessions, but with each death and each mindless conversation with one-dimensional characters, it gets harder to find reasons to keep going.",The Indie Game Website,"Apr  1, 2019",12 is Better Than 6,Switch
40,"12 is Better Than 6 has good combat and a great art style, but is held back by technical issues, unpredictable AI and some odd design decisions. The issues hamper the gameplay and, whilst there is a story, it's entirely forgettable and delivered in awkwardly written dialogue. It's probably best to stick this game's obvious influences.",TheSixthAxis,"Apr  8, 2019",12 is Better Than 6,Switch
40,"On Switch, 12 is Better Than 6 is much more of a Mexican let down than a Mexican stand off. It sure had some potential as a far west hand drawn Hotline Miami but issues like frame rate dropping, protagonist stuck near some walls or very disappointing A.I. make it a game that can be hard to enjoy. Too bad.",Gameblog.fr,"Mar 11, 2019",12 is Better Than 6,Switch
20,"Considering Hotline Miami is a widely available and far superior game, why anyone would want to play 12 is Better Than 6 is beyond me.",Video Chums,"Apr  5, 2019",12 is Better Than 6,Switch
70,If you enjoy playing competitive local multiplayer experiences then 12 Orbits is a must-have game. Its deceptively simple gameplay dynamic and large selection of variations make for an addictive and enjoyable time with friends.,Video Chums,"Apr 21, 2018",12 orbits,Switch
60,"Whilst not an essential purchase, 12 Orbits is great with a group of friends or family for shorter bursts of fun!",Switch Player,"Aug 24, 2018",12 orbits,Switch
60,"In general, I found 12 orbits to be just okay. The multiplayer options and modifiers were pretty impressive, and the developer deserves to be praised here. That being said, its lasting appeal is very limited and I fell out of it after a while. The simple look and similarities between the different modes caused my friends to get bored quickly. I really can't see this being the creator's true intentions.",NintendoWorldReport,"Apr 19, 2018",12 orbits,Switch
100,"13 Sentinels: Aegis Rim is lengthy and complex, particularly if you really want to understand every little nuance of the story. The story might not feature player agency, as it has no branching choices or bad endings (and I’d argue that this is a strength of the game, that it’s determined to tell one story and tell it well) but even then the narrative alone will take at least fifteen hours to see to the end. Add on a few hours of the strategy RPG and you’ve got a hefty title on your hands. Ultimately though, I stuck through with 13 Sentinels because it’s paced immaculately – the mystery of the narrative gets its hooks into you and rushes you through an intricate web of conspiracy, discovery, and self-reflection. It got me to laugh, to gasp, and to view the world differently. We talk a lot about the potential of interactive storytelling to deliver experiences beyond film or print, and yet not many games do – but here is Vanillaware making it look effortless. Here’s hoping that 13 Sentinels is remembered long afterwards for all it has achieved.",Digitally Downloaded,"Apr 26, 2022",13 Sentinels: Aegis Rim,Switch
