score,text,critic,date,title,platform
151,5,"C'est un jeu moyen, il est fun à jouer avec la famille ou des potes, mais on a vite fait le tour, ca manque vraiment d'autres mini jeu, c'est dommage.",Jopawho,"Aug 18, 2020",1-2-Switch,Switch
152,1,I hate this game so much its so bad it makes me peeeeeeeeeeee out my buthole im going to destroy every single copy of this game house to house so no one has to experince this monstrosity if you played this game I pray for you,Sta123___,"Jun 23, 2019",1-2-Switch,Switch
153,6,"1-2 Switch is a fun game for a little while, and by a little while, I mean until you play every mini game once or twice. I think as a stand-alone game you will get some fun out of it with friends or family, however, in my opinion, if you add some other things to it, such as punishments for the losers or rewards for the winners, it is much more fun. The game comes with 28 mini games: Telephone, Ball Count, Zen, Treasure Chest, Milk, Safe Crack, Quick Draw, Samurai Training, Sneaky Dice, Signal Flags, Soda Shake, Shave, Joy-Con Rotation, Table Tennis, Baby, Fake Draw, Baseball, Eating Contest, Beach Flag, Wizard (My personal favorite), Sword Fight, Boxing Gym, Plate Spin, Copy Dance, Runway, Air Guitar, Dance Off, and Gorilla. I had hoped on release that there would be free DLC with more mini games, but there was no DLC at all. Another issue I have with the game is that it has no age range. Some games are more complex, such as Sneaky Dice, and then there are other ones like Milk, where you move your arm up and down. A positive of the game is that it is a great party starter. I invited some friends over and we played through each and every mini game with the loser having to eat one of the Bean Boozled jellybeans and it was great fun (Thank you for the idea AbdallahSmash026). But, after all of this, the biggest problem to me is that before every game, you sit through a 1-2 minute video on how to play, and then you play and it lasts about 20  seconds. Overall, if you have some extra money and want a party game, go ahead and buy it, but not for full retail price. A buddy of mine got it off of eBay for like 20 bucks, where you can buy it at retail stores for 50-60.",TylerSantry7,"Aug 19, 2019",1-2-Switch,Switch
154,4,"Well in short: after only 1 day you get bored of it, that is it.So nothing for longtime play.You will be able to only bring it up once or twice a year with new people.For that it is absolutely too expensive and made quite cheap.",ElCriticon5,"May  8, 2020",1-2-Switch,Switch
155,2,This game is garbage. They tried to recreate Wii sports and failed. This game is so bad it makes me projectile vomit. The mini games are boring and unoriginal. I would expect this from a Wii mini game collection made by some old lady in her basement.,abYss123,"Jan 27, 2021",1-2-Switch,Switch
156,10,"El juego definitivo para jugar con amigos sin la necesidad de jugar especialmente a algo, buenas mecanicas con los controles Joy Con. Divertido de jugar",Gastly67,"Jul 19, 2020",1-2-Switch,Switch
157,7,"1-2 Switch was a forgotten Switch launch title, mainly because it was shovel ware. The game is just a fine party game. Not as good as the Wii Party games, but its decent fun for awhile. The game itself is a minigame collection, while it doesn't have any outright bad minigames, it doesn't have too many creative ones and the majority of them are short. Overall, 1-2 Switch is a fine party game.",PigbyYT,"Oct 25, 2020",1-2-Switch,Switch
158,0,it's by far the worst 1st party title on the switch. it's a tech demo that cost way too much,MagicMikey,"Aug 22, 2020",1-2-Switch,Switch
159,4,Should've been a pack-in title. The good:- some genuinely interesting uses of the switch's hardware- fun presentation The bad:- mini games lack depth- no replayability- fairly pricey for the amount of content,GeeBoi11,"Sep 13, 2020",1-2-Switch,Switch
160,0,This game is really really bad the minigames get boring after a while if you buy it you'll probably play it once and never play it again. DO NOT BUY,Mckenzieawesome,"Mar 29, 2021",1-2-Switch,Switch
161,0,"one of the worst games that Nintendo has ever made. Terrible ideas, bad gameplay",guioiticica,"Jul  2, 2022",1-2-Switch,Switch
162,10,"Отличная игра! В компании играть одно удовольствие. Мини игры разнообразные и интересные. Игра также не успевает надоесть (если у вас гости конечно не каждый день;) ). Как по мне, заслуживает все 10 баллов.",Gameryxa,"Sep 23, 2021",1-2-Switch,Switch
163,8,"i  really enjoy playing this game with friends and family. this is a pretty good game BUT it is not worth $50, in my opinion it is worth around $30-40. if you don't have a game dedicated friend or a family that doesn't have that much free time for games, there are some games you could play yourself like ball count or joy con rotation. but most of the games are not fun or unplayable by yourself. you should get this game if you have people to play with.",wazu,"Oct 13, 2021",1-2-Switch,Switch
164,3,"When you try the game for the first time it will be fun, but then you will get bored and hate it",KarakMan,"Feb 28, 2022",1-2-Switch,Switch
165,5,"В теории очень классная игра, а на практике - так себе. Поиграл пару раз, а потом надоедает.",Gornostai,"Jun  1, 2022",1-2-Switch,Switch
166,4,"After playing all the mini-games, the replayability factor of some games is very low. Of course, you can fight with your friends for the highest score, but every mini-game run is basically the same. The game can be fun, but it doesn't come close to ""Wii Sports""",NicoCube118,"Sep  5, 2022",1-2-Switch,Switch
167,4,"Like Wii Sports and Nintendo Land, this is a launch title for the new Nintendo system, introducing you to the new controller. It is a mini game collection that is fun for the entire family. Unlike the Wii Sports and Nintendo Land, this game does NOT come with the console. You have to buy it separately. It is not worth the money. The game doesnt have enough content and gets boring quickly.",Eny2505,"Jan 16, 2023",1-2-Switch,Switch
168,8,"10 Second Ninja X is a single screen platform game, that has you controlling a Ninja, and you have 10 seconds to complete the level. So yes, the title is pretty damn accurate! Yes, the game really is that simple, but it is also very tricky, everything is about speed, when the level starts you can look around, you will see the enemies that you need to kill, and work out a route, and as soon as you start moving, the timer starts to tick down, if you have not killed all enemies within 10 seconds, you lose. The faster you complete a level, the more stars you get, the aim being 3 stars, but you can pass the level with 1 star if under 10 seconds. There are 100 levels to beat, leader boards for each level, things to unlock and collect to add a bit more of a challenge too. The controls are super simple, you run back and forth, you can jump, and of course the now obligatory double jump, you can slash your enemies with a Katana sword, or you can hit them from afar with Shurikens, (Ninja Throwing Stars) you only get 3 of them per level, so you need to use them wisely to hit enemies you can't reach by jumping, or ones protected with an electrical shield. As you progress through the game, some enemies you come across will be immune to the Throwing Stars too, just when you thought you had it mastered, the game throws a spanner in the works. Some levels will have switches you need to activate, to move platforms, others will have surfaces you can bounce your ninja stars off, and even surfaces you can hold on to. The more stars you collect, the more levels you unlock. There are also costumes you can unlock for your ninja. And in the pre-level area, if you find the hidden CD pieces, you can unlock an extra minigame, so that is worth looking for. The GoodWith the short time limit, and the leader boards, there is a strong ""re-playability"" to the levels. Trying to get 3 stars, trying to get as high on that leader board as possible, and just trying to do the perfect run, really is enjoyable, and a rewarding experience. The graphics are decent, as are the sound effects. The BadAlthough 100 levels sound a lot, once you get the hang of the game you will get through them relatively fast. OverallA great little addition to your puzzle game collection, that is perfect for quick bursts of gameplay, and to pass the time. I score 10 Second Ninja X on Nintendo Switch a very strong 8/10. I very much enjoy the game.",GamingCouchSpud,"Nov  7, 2021",10 Second Ninja X,Switch
169,7,"This minimalist, and quite challenging, platformer will absolutely make you a bit crazy if your goal isn’t just to complete tough levels but also do so in an insanely limited amount of time. Sure, within a few attempts you’ll likely be able to tackle some of these tough precision stages but in order to truly conquer each level with the best time you’ll have to throw out any and all hesitation and execute every move to perfection. To its credit the controls are crisp and precise, and when you die or realize you’ve been going too slow each reset is pretty well instantaneous so you won’t waste any time waiting for your next run. Just with its simplicity and budget price don’t expect anything more than the challenges themselves, and if you like the personality the likes of titles like Super Meat Boy or the heart of Celeste you’ll find them non-existent here… so it’s take it or leave it. https://www.nindiespotlight.com/2021/08/mini-reviews-august-4th-edition.html",NindieSpotlight,"Dec 17, 2021",10 Second Ninja X,Switch
170,7,"Simulations can be a tricky business on consoles since they typically feature more complex controls better suited to the PC, but the ones that get it right are sometimes a real treat. While it won’t be a flavor everyone will love, 112 Operator fits this mold well, though part of its success has to do with the relatively simple controls you’ll quickly become accustomed to. With the means of control out of the way you’ll be able to enjoy a surprisingly intense game that, perhaps at a distance, seems simplistic or dull, but when you’re immersed in the moment can be heartwarming or tragic at times. Your work as an emergency switchboard operator will put you right in the thick of things, monitoring incident reports and dispatching the proper personnel to handle a variety of scenarios. Where the game truly shines is in the calls you take, which will put you right on the spot to make sometimes very difficult decisions on the fly… which can lead to happy successes or absolute tragedy. It’s the unexpected that can really make 112 Operator compelling, and I understand that as you play it more and more the novelty of certain calls may diminish, but I’ll absolutely admit that having someone on the other end of the line relying on me to help them through a very tough situation is unique and quite compelling indeed. https://www.nindiespotlight.com/2021/07/mini-reviews-july-27th-edition-nintendo.html",NindieSpotlight,"Dec 17, 2021",112 Operator,Switch
171,7,"12 is Better Than 6 is a worthy addition to the Switch's digital library, and is perfect for the system's portable, pick-up-and-play mentality.  You can blaze through a few levels in a matter of minutes, or put a good hour into the story. It's a very challenging game and some cheap deaths get frustrating, but the quick restart nature doesn't make it feel that way. So if you're all “red-deaded” out and are looking for a fresh take on an old genre, you can't go wrong with this game.",Gamerheadspodca,"Mar 13, 2019",12 is Better Than 6,Switch
172,8,"This game is great fun.  You should play this more for its art style, music and game mechanics than the story since its not that engrossing . If you're interested in a quick shooter game that can get challenging (but not impossible) to pass the time in short bursts this is the game you should get. It does get a little repetitive if your play session is long. But the quick shootouts mixed with a little bit of stealth elements keeps you on edge. It does not dissapoint for the price at all. It's well worth it.",Turyman,"May 24, 2019",12 is Better Than 6,Switch
173,9,The art style and feel of it are top notch.  I loved this game and got several hours of enjoyment out of it.  The only problem I had with it was it was a bit short and figuring out which level you wanted to replay was a little confusing.  Overall I recommend this game to anyone who loves twin-stick shooters and old west styles!,chosen0ne,"Sep 22, 2021",12 is Better Than 6,Switch
174,9,"I highly recommend this game if you have at least 2 more people to play with. The concept is really well executed, and allows for a very fun overall experience, particularly for the price point. I have 2 main issues with the game, however they are very minor. The first is that even though there are 6 modes to play, I only ever find myself playing 2 of them, and although there is customization in each of the modes, once you find one you like, you usually stick with that mode. The major issue is that the frame rate can slow down a lot if you have masses of dots, which usually takes some effort, then the frame rate can drop considerably, but if the customization is set differently, this is never an issue.",RedBlueCarrots,"Mar 17, 2019",12 orbits,Switch
175,10,"This has immediately become one of my all time favorites! One of the most memorable stories in any media, include amazing and well voiced characters, a plot that keeps you glued to your couch, and a killer soundtrack. 10/10 all around! If you're even thinking about playing this, do yourself a favor and get it, and avoid spoilers at all costs since this is a mystery game at it's core.",Jho88,"Apr 14, 2022",13 Sentinels: Aegis Rim,Switch
176,10,"Great plot and graphics, even better frame rate fluency than the PS4, plus this is Mechanical Wind, my favorite.",systemannounce,"Apr 19, 2022",13 Sentinels: Aegis Rim,Switch
177,10,"Play this game. It's one of the best gaming experiences I've had in years, with the best sci-fi story I've ever seen in games.If you have have a passing interest in science fiction, Kaiju, tactical games or mystery, just play it",Charsquatch,"Apr 21, 2022",13 Sentinels: Aegis Rim,Switch
178,10,"Beautiful visuals and Gameplay, Part Visual novel, Part mech strategy, AMAZING STORY, don't sleep on this game, give it a try you will not regret it.",sakuraslight,"Apr 23, 2022",13 Sentinels: Aegis Rim,Switch
179,10,"What i could say... this is it, this is the pinnacle of the RPG genre. Playing this game was one of the best experiences i had this year, give it a try if you love anime styled and sci-fi games like me.",PaperMarioFans5,"May  6, 2022",13 Sentinels: Aegis Rim,Switch
180,9,"13 Sentinels: Aegis Rim, c'est un bon jeu. J'ai bien accroché à l'histoire jusqu'à un point où je me suis rendu compte que c'était tarabiscoté. Pas mauvais, ni mal écrit, mais compliqué pour pas grand chose à mon goût. Par contre pour le gameplay, je suis tout à fait fan : un mélange de tower-defense et tactical super fun. J'ai choisi la difficulté ""intense"" dès le départ, et je ne l'ai pas regretté du tout. Un très solide 17/20.",Bidoulou,"Apr 16, 2022",13 Sentinels: Aegis Rim,Switch
181,10,A near-perfect narrative and engaging yet relaxing gameplay. Perfect for handheld mode.,Red_Meridian,"Apr 16, 2022",13 Sentinels: Aegis Rim,Switch
182,10,A must play game if you are a fanboy of VANILLAWARE.A must play game if you are interested in JRPG.,vagabondLee,"Apr 19, 2022",13 Sentinels: Aegis Rim,Switch
183,10,"A wonderful game..period.  Great Story, Great art style.  Playing it is just wonderfull.  So glad they did a Switch Port cuz its top notch!",Ripper36,"Apr 18, 2022",13 Sentinels: Aegis Rim,Switch
184,10,"I don't play many RTS or anime-esque titles, but this is an absolute exception on every front. The overarching narrative kept me enticed as I conducted through the visual novellas, interacted with the RTS sessions, and scrolled through the encyclopedia. This is a bona fide masterpiece, far better than the Playstation version.",Kiernetopia,"Apr 13, 2022",13 Sentinels: Aegis Rim,Switch
185,10,"A fantastic game, I love how some of the enemies look like Terminators. This game is vanillaware truly at its finest, and I hope they bring more of their games to switch and even PC. These companies wonder why so many people use emulators when in this day and age exclusivity is overrated.",thegreatjumpman,"Apr 13, 2022",13 Sentinels: Aegis Rim,Switch
186,10,"Essa é um experiência única de um jogo, essa jornada é maravilhosa em tds os sentidos, o jogo é cheio de plots( o melhor é que, por vc ter uma certa liberdade para avançar na história, alguns desses plots ñ são inteiramente explicados jogando com um só personagem, vc precisa ver cada perspectiva diferente pra ficar boquiaberto pela sensação incrível que é entender 100% cada segredo revelado), o jogo é cheio de referências a outras obras de ficção científica, o que deixa ainda mais prazeroso pra quem curte essa temática, o combate tb é legal ( achei que ñ gostaria mt, mas quando vc joga é uma delícia), eu simplesmente recomendo essa obra pra qualquer um, vc percebe que esse é um jogo feito com muito amor pela Vanillaware(Dificilmente deve ter outro assim), qualquer um que jogou esse jogo fica chateado por ñ ter vendido no mínimo dez vezes mais doq vendeu, eu preciso dizer uma coisa: esse jogo possui um dos melhores roteiros dos jogos da história com certeza, vou guardar com mt carinho os momentos que passei nessa carta de amor para os amantes dos jogos.",itamarJr,"Apr 28, 2022",13 Sentinels: Aegis Rim,Switch
187,10,The game has one of the best narratives I've ever played. A very unique experience when you switch between the 13 main characters through 5 different era ( from 20 to 22 centuries) to discover the truth behind the complicated story.,kawahe,"May  6, 2022",13 Sentinels: Aegis Rim,Switch
188,9,"La trama está muy bien elaborada y te mantiene constantemente intrigado esperando a saber más. Quizá el elemento en el que falle sea el modo batalla, que lo siento un poco desconectado del modo aventura, aunque igualmente es un juego muy bueno.",Alexu1001,"Apr 16, 2022",13 Sentinels: Aegis Rim,Switch
189,9,"Spectacular game. One of the best stories I’ve played in a video game. The characters are fantastic and each of their arcs are great to see. Also the English dub is really good, which makes it easy to digest the story. The RTS gameplay is also pretty fun, but the maps are bland to look at and leave a lot to be desired. Overall, I highly recommend this game if you’re a fan of sci-fi and/or visual novels.",LoomBoom,"Aug  7, 2022",13 Sentinels: Aegis Rim,Switch
190,10,"This game is a work of art and in my top 5 of 30 years of gaming. If you are fairly interested, get it and play WITHOUT ANY SPOILERS. It is a story driven game, so you need to read (a lot), remember and think to  really savour it. If it doesn't click with you from the start, keep at it a little bit longer. It is one of those games that made me sit there with open mouth, shaking my head and questioning all my understanding of the plot ... and loving every second of it. Writing, sound, art and voice acting get a solid 10, simply beautiful. My only negative is the fairly repetitive enemy design and the fighting part could be a bit more nuanced. The latter is entertaining, with a nice learning curve but in the end you can succeed if you just throw your best guys at it and remember the basic rock/paper/scissor mechanic.",FreshCuppa,"Jun 27, 2022",13 Sentinels: Aegis Rim,Switch
191,9,"That was my first entry in the visual novel genre and quite an excellent one. Very beautiful artistic direction, captivating story, nice multi-character / story line setup. It misses the 10/10 by a slightly misrythmed storytelling by the end of the game. Moreover, the fight phases could have had a more detailed rendering but it is still a nice implementation.",tom974,"Jul 11, 2022",13 Sentinels: Aegis Rim,Switch
192,9,"Another fantastic game from Vanillaware. If you're a fan of sci fi, tower defense, or just well written stories with memorable characters then 13 Sentinels is a must play. Funnily enough the switch version actually has a better framerate than the ps4 version so if that matters to you get the switch version.",davygravy93,"May 28, 2022",13 Sentinels: Aegis Rim,Switch
193,8,"Absolutely recommend for sci-fi genre fans and people who love visual novels. Gameplay isn't very hard, main part it's story about 13 sentinels.",Ewas228,"Jun  4, 2022",13 Sentinels: Aegis Rim,Switch
194,8,"With 14 hours in, this game feels like a solid 8, probably 8,5. From the first hour, the story took me in and never let me go, although there's a bit of confusion in the beginning because of the many characters and time travel. From the moment you clear the prologue things will become more clear and missions will be more complex. Love it so far.",nnja,"Jun 24, 2022",13 Sentinels: Aegis Rim,Switch
195,10,Das Spiel macht wirklich sehr viel Spaß.Mit deiner Grafik und Story begeistert es auch michNur im deutschen Text gibt es leider ein paar Rechtschreibfehler,Elias373,"Apr 14, 2022",13 Sentinels: Aegis Rim,Switch
196,0,this game is not good. terrible gameplay and really awful graphics. the soundtrack is annoying,guioiticica,"Apr 15, 2022",13 Sentinels: Aegis Rim,Switch
197,10,"For me, the best game of the last 10 years.The art is phenomenal. The best example of 2D node animation. The gameplay is fun and directly ties into the story segments. The writing is actually good. Characters travel to a different time period and actually experience different form of light culture shock. It's not superficial at all.Yes, it has small flaws all over, but that's all trivialized by the amount of effort, attention to detail and love this game so obviously got and conveys to the player. The setting and storytelling, the concept art, design references to cultural classics from both west and east, the sense of scale. This game oozes value all over and there would be too much to write.Taken apart, the battle segments might seem to lack a little in presentation and variety, but since most of the time is spent exploring the non-linear story, they never overstay their welcome. 13 sentinels truly performs a feat of game design to create something far above the sum of its parts.",Ayreos,"Aug 20, 2022",13 Sentinels: Aegis Rim,Switch
198,6,"This game is severely overrated IMO. The story mode (Remembrance) is interesting to go through for each of the 13 characters who each have about 7 chapters. However, I found the story to be extremely convoluted and difficult to absorb and understand. I had even watched some videos online trying to summarize the story and still couldn't even fully understand it. What a bummer, especially after spending over 30 hours on the story mode and completing it 100%. The battle/strategy gameplay mode (Destruction), however, I found to be quite enjoyable and addictive. It is not real-time strategy as others have mentioned on here. It is turn-based. All activity on the battlefield stops when it's your character's turn, giving you time to decide your next move. There are over 30 stages and as you progress you will earn ""meta-chips"" which you can spend on upgrades and unlockables to make your team members stronger and better equipped. It takes a while to truly understand all of the elements of battle and there is a LOT of activity on the screen, which can be overwhelming and confusing much of the time, but you'll get used to it. I put in at least 25 hours of gameplay here and still don't completely understand some aspects of battle. But I grew to enjoy it very much and looked forward to playing when i was not actually playing. I played the game over a six week period and honestly it is hard to recommend. Overall, I enjoyed the Destruction (battle) mode, but not so much the Remembrance (story) mode. I was not too fond of the game's style, either.",nep321,"Jun  4, 2022",13 Sentinels: Aegis Rim,Switch
199,3,"But if it is a visual novel and it stands out in the narrative, why play it? I better read his story, if it's just a good story turned into a game, I better look for his novel and lore in some forum and that's it. Visually it looks boring and monotonous, with a simple design, like a basic mobile game, I don't see how precious and beautiful it comments, in general it is rather (if its value is only in the narrative) it stops being a game), that bad conformist and idealistic tendency of today to call any game ""precious precious"", in short a matter of tastes and colors,",Amaru12,"Apr 24, 2022",13 Sentinels: Aegis Rim,Switch
200,10,"Hopefully this game gets the love it deserves on the switch. Once you understand the gameplay it becomes really enjoyable, it may take some time but its totally worth it",MoMAUT,"May  1, 2022",13 Sentinels: Aegis Rim,Switch
201,0,"Just bad design honestly. In my personal, humble and honest opinion this weeb game should not have been released in such a devastating state, dissappointed.",shirex,"Jun 15, 2022",13 Sentinels: Aegis Rim,Switch
202,0,i dont have fun while i playing this game. the story is very easy and gameplay is boring,Nintendist,"Jun 29, 2022",13 Sentinels: Aegis Rim,Switch
203,0,0 через те що немає української озвучки в цій грі та навіть немає українського інтерфейса,ytmerc,"Jul  7, 2022",13 Sentinels: Aegis Rim,Switch
204,0,"this game is not good it all, it has a really bad gameplay, outdated and very bad",lucinhagamer,"Aug 25, 2022",13 Sentinels: Aegis Rim,Switch
205,0,"this game is so lazy and has really boring mechanics. i really dislike it, bad",GRAFAIAI,"Sep  1, 2022",13 Sentinels: Aegis Rim,Switch
206,10,"13 Sentinels is an amazing story driven game with 13 stories intertwined perfectly to unravel the overall plot in non-chronological order as you slowly build your knowledge and piece things together, and each realization of a connection feels rewarding. There is also the Analysis section if you need assistance as to where each piece fits into the overall story, so you need not worry of it being too complicated. I won't say anything of the plot itself as it is best experienced completely blind. As for the combat, it is not as perfect as the story, but is engaging and strategic, even if the graphical style does leave a little to be desired in this particular part of the game (contrary to the story where the character sprites and backgrounds look fantastic). It may be a little obscure, but trust me when I say this is one of the most essential story-based games you can get for the Switch.",Djungelorm,"Nov  2, 2022",13 Sentinels: Aegis Rim,Switch
207,9,"Lo primero es aclarar que no me gustan los RTS, así pues, no voy a entrar a valorar esta parte del juego (la cual complete poniéndolo en fácil y no complicándome demasiado la vida). A pesar de ello disfrute gratamente de la experiencia de 13 sentinels y es un juego recomendable si te gusta el resto de lo que ofrece. Así pues valorare solo el resto de la experiencia.13 sentinels es una mezcla de RTS y Visual Novel, que debe de andar en 20-30%/80-70%, lo cual quiere decir que para quien realmente no es recomendable es para aquellos que no les gustan las visual novels.La historia y la manera en la que es contada es sublime, original y caotica, mostrandonos los eventos de manera desordenada en función de con que personaje vayamos jugando, teniendo que ir ordenándolos en nuestra cabeza (con ayuda del visor de eventos que ya nos los coloca por orden) para ir desenmarañando lo que de verdad ocurre, con una infinidad de giros de guión. La historia nos muestra desde el principio viajes en el tiempo y varios momentos temporales diferentes para terminar de liar la marrana también. La belleza de los gráficos en esta parte es también sublime. Ahora el punto más negativo del juego es el balance entre las dos partes... o mejor dicho, la ""desconexión"" entre ellas. Una vez terminado el tutorial del juego, la parte RTS (la batalla final) y la parte visual novel quedan como dos pegotes separados en el menú del juego. Llegado a ese punto invertí unas 12 horas en solo jugar a la visual novel sin tocar la parte de RTS hasta llegar al punto que no podía continuar porque me obligaba a llegar a una cierta batalla para desbloquear más historia. En esas 12 horas no eche de menos la parte de combate, simplemente porque la historia te atrapa y porque tampoco le ves sentido ponerte a ello: la parte de RTS es la ""batalla final"" y el punto donde confluyen las historias de los 13 personajes, así que hasta ver lo que esta ocurriendo realmente se siente incluso anticlimatica jugarla... este es el punto más  del juego, aunque necesario tal y como se ha estructurado la historia (siendo contada a retales), me hace plantearme si era necesario incluso incluir la parte de RTS en este juego... aunque me imagino que fans del genero estaran en desacuerdo conmigo. igualmente, una gran obra maestra muy recomendable para cualquier fan de disfrutar de una buena historia.",Sunshadow87,"Oct 16, 2022",13 Sentinels: Aegis Rim,Switch
208,10,"13 Sentinels: Aegis Rim delivers on its storytelling, great setting, and mystery, great premise, and great story beat in both the story itself but also the implementation of the story related to the gameplay. It quickly became one of my favorite experiences of gaming and I hope many aspiring developers take inspiration from this game. It's perfect in what it's trying to do and it does it in a unique way, its deserving of a perfect score.",M3G4L,"Sep 15, 2022",13 Sentinels: Aegis Rim,Switch
209,9,"I was considering to give this game an 8 but I simply can't go lower than 9 after seeing the game credits. The story of 13 sentinels is remarkable, very interesting and unique. It's a real holy grail for science fiction enthusiasts. And for the story so unexpected and beautiful I gave this game a 9. As for the ""destruction"", part when you need to fight against robots... It was fun at the beginning but for me it was definitely too much of it and later on I was feeling like I'm wasting my time doing those boring fights over again, that unfortunately was necessary to push the story forward. I highly recommend this game to everyone who likes good story, this game will definitely have some impact on anyone if you just give it a chance and at least try to understand it. I can't stand people that are rating this game after an hour or eight... It's like reviewing book after seeing it's cover and few pages. It's one of the most interesting story I've witnessed in quite some time.",lesiuML,"Feb  5, 2023",13 Sentinels: Aegis Rim,Switch
210,10,"I usually dont like visual novels, not much of a strategy game fan, I dont like scifi fiction BUT I LOVE THIS GAME and thats how good this game is. Watching some video reviews I told myself the devs are lazy for the gameplay are just boxes shooting each other but weird enough that simplicity with Fantastic plot is like peanut butter and jelly. Also the part that it forces you to play some visual novel story first before you can proceed with the strategy gameplay makes the game balanced and vice versa so you take a pause  from fighting kaiju then do the story then rest from the story then fight kaiju. Dont look for spoilers, just play the game in your own pace. The twist and turns and the story of each person connects together.",Vinzkill,"Jan 29, 2023",13 Sentinels: Aegis Rim,Switch
211,9,"My first ever visual novel and I really enjoyed it. The story was great. The characters were amazing. I thought about this game quite a bit after finishing it. The tower defense aspect got a little old by the end, but overall I would recommend.",Wrecktangled,"Dec 21, 2022",13 Sentinels: Aegis Rim,Switch
212,10,"Excellent story with many world changing twists to it. And unlike most other stories that go wild like that, this one actually manages to tie everything together in the end so that it all makes sense. Pretty neat strategy part aswell.",igolrum,"Jun 10, 2022",13 Sentinels: Aegis Rim,Switch
213,10,"Incredible sci-fi visual novel. The story is incredibly good, you really don't know what the hell is going on until you're atleast at 60-80% completion.",Xitomz,"Sep 24, 2022",13 Sentinels: Aegis Rim,Switch
214,10,"This game is primarily a visual novel game with a complex story. That means you actually have to pay attention to the story, think and speculate to enjoy it best. If you don't like that or hate anything that's slower paced, visual novel, anime or any nudity, this game is not for you.",Belonski,"Jan 25, 2023",13 Sentinels: Aegis Rim,Switch
215,10,"Одна из лучших игр в плане истории, сюжета и вотэтоповоротов.",BugagaTV,"Aug  4, 2022",13 Sentinels: Aegis Rim,Switch
216,6,"While its repetitive and unbalanced real-time action strategy struggles to be entertaining, 13 Sentinels' narrative offers something truly special. With a non-linear, highly-interactive style of storytelling, the game dares to turn its overly complex but compelling plot into an investigative struggle for the players, challenging them to keep track of its huge cast of charismatic characters, emotionally-charged drama and fascinatingly structured sci-fi concepts, all of it told with a mesmerizingly unique art-style.",ZangBang,"Jan 17, 2023",13 Sentinels: Aegis Rim,Switch
217,10,"13 Sentinels: Aegis Rim is a beautifully crafted game with a mesmerizing story, beautiful art, and is a game that can only be done in a video game medium. A must play stunning masterpiece that will keep you engaged to the very end. Highly recommend it to give this game a chance.",NintendoCade,"Jul  3, 2022",13 Sentinels: Aegis Rim,Switch
218,9,각종 SF 오마주가 들어가있는데 잘 섞여서 재밌다.이야기의 순서를 구성하는데 굉장히 노력을 들였을 것으로 예상됨.,markrivison,"Sep 11, 2022",13 Sentinels: Aegis Rim,Switch
219,10,"Jumped into the game with absolutely no expectations of the story or combat,was absolutely floored after with a huge,expansive story with a lot of plot twists,and the RTS combat feels great,hard to understand at first.Must buy if you're a fan of science fiction and everything related.",dirtkiller23,"Nov 17, 2022",13 Sentinels: Aegis Rim,Switch
220,10,"Love this game, here is why. Simple, easy to understand turn-based strategy game. There are no endless silly side quests, no character development, and you don't need 3 hours dedicated to understand how to play the game. Download or put the cartridge in and start playing immediately. Levels are well thought out and challenging. There is an over-arching story which is interesting and adds to the game play. If your looking for a straight up turn based strategy game this is it. I give it a 10 out of 10 for what it is and what it doesn't try to be.",eR1c245,"Mar 12, 2021",1971 Project Helios,Switch
221,7,"1971 Project Helios es un juego de estrategia por turnos muy entretenido. Es un juego corto (6 horas aproximadamente) pero muy entretenido. El sistema de combate es bueno, con variedad de situaciones y de combates. La historia tiene una ambientación interesante, y aunque es entretenida, es muy sencillita. Durante el juego pasarás mucho más tiempo luchando que leyendo, y también hay posibilidades de exploración para conseguir algunos coleccionables con los que ampliar el lore. A nivel gráficos y música no es una maravilla, pero cunple. Lo mejor es que es un juego muy orientado al combate, con una duración muy correcta, que te mantendrá siempre entretenido y con algunos retos interesantes. Lo peor es que la versión de Switch tiene algún bug puntual, aunque no estropea la experiencia. Si te gusta el género, aunque hay opciones mejores, lo recomiendo.",Ventu,"Apr 10, 2022",1971 Project Helios,Switch
222,4,"Plot is pretty good, though rather straightforward. As far as the combat, there are free games from 10 years ago released on the fire kindle that tackle the concept of turn based field battles. The maps for each battle are very small, which means any unit can cover nearly the entire map in one turn, rendering most obstacles used for cover useless as the enemies will be able to make it around them before taking their shot. Also each level, which take 1-3 minutes, only separated by ~5 seconds of walking further along the map before hitting the next random encounter battle, start to all blend together as there’s very little variety in what you can do. The music is intense, very battle music heavy, though doesn’t really fit with the game as it’s not adrenaline-rush gameplay as much as it is struggling to get the cursor to land on the specific spot you want your units to move to before repeating their one exaggerated shooting animation they do every time.",VitaminJ,"Mar 27, 2021",1971 Project Helios,Switch
223,1,"I made a account just to rate this game!This game is so amazing! .. ly badAvoid this game like the plague. Only could get through 1 hour of this crap game. It wants to be Xcode but is too simple. It wants to be a good story but it falls flat as do the characters. Not interesting. I do not care about the story. The combat had opportunities but the battle music is obnoxious, and the battling is pretty repetitive. Probably the worst game I’ve ever played in my life.",Jblitz,"Apr 16, 2021",1971 Project Helios,Switch
224,5,"It's not a game, it's just interactive movie with poor graphics. The story is average, nothing more, but it doesn't have an end, which is awkward...",b00lpr0p,"Apr  8, 2019",1979 Revolution: Black Friday,Switch
